Vote_ID,Iniciative_ID,Título,Proposed_By,TextLink
126521,263581,Valorização profissional e remuneratória dos enfermeiros no SNS,PCP,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a6d566a5a5749304e3255744d6d4d78595330304e32566a4c5749344e444d744f5455325a574e6c4d4749784e4755774c6d52765933673d&fich=feceb47e-2c1a-47ec-b843-956ece0b14e0.docx&Inline=true
126522,263571,Recomenda ao Governo que tome as medidas necessárias à valorização estatutária e remuneratória da carreira especial de enfermagem,CH,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6d59324d7a4d335a5759744e474a694e5330304d4463354c5749334e6a63745a54686c4d7a5a6a4e54646a4e6a566b4c6d52765933673d&fich=6f6337ef-4bb5-4079-b767-e8e36c57c65d.docx&Inline=true
126523,263585,Recomenda a contagem de pontos e reposição da paridade entre a Carreira de Enfermagem e a Carreira Técnica Superior da Administração Pública,L,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d4459304e32526c4e444d7459544a6c4d4330304e6a6b344c54686a4f474d744e44646c4f444133597a67315957466a4c6d52765933673d&fich=0647de43-a2e0-4698-8c8c-47e807c85aac.docx&Inline=true
126524,263514,"Recomenda ao Governo que contemple, no Programa de Estabilidade, critérios objetivos e previsíveis para a utilização da folga orçamental, sob a forma de um compromisso para a equidade e investimento",L,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d457659546c6b4d4459794e7a45744e4451354e6930304d6d5a6b4c5746695a5467744f4745334f444d7a4d6d59304f574d304c6d52765933673d&fich=a9d06271-4496-42fd-abe8-8a78332f49c4.docx&Inline=true
126525,263592,Transparência nas opções de política económica e rejeição do Programa de Estabilidade 2024-2028,BE,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d474a6d4f474d77597a41744d6d4e6c4e7930304e7a6b324c546b305a4451744f4441774e4759354e325a6c4e4745334c6d527659773d3d&fich=0bf8c0c0-2ce7-4796-94d4-8004f97fe4a7.doc&Inline=true
126526,263599,Recomenda ao Governo que reflita no Programa de Estabilidade as previsões macroeconómicas que anunciou na campanha eleitoral,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f54466c597a49784d4451744e6d59344e7930304d5745774c546b304e3249745a6a4a694d575134597a42694e57526b4c6d52765933673d&fich=91ec2104-6f87-41a0-947b-f2b1d8c0b5dd.docx&Inline=true
126527,263600,Pela inclusão dos Objetivos de Desenvolvimento Sustentável da Agenda 2030 e dos princípios de orçamentação verde da Lei de Bases do Clima no Programa de Estabilidade 2024-2028,PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f5749324d446b774f4759744d54466959693030596a51304c57457a4e546b744e3251794d4452694d6a67785932597a4c6d52765933673d&fich=9b60908f-11bb-4b44-a359-7d204b281cf3.docx&Inline=true
126528,263601,Pela transparência da execução orçamental e garantia de envolvimento da Assembleia da República na aplicação de receita fiscal extraordinária face à prevista no Programa de Estabilidade 2024-2028,PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576595455324e546b795a4445745a5459774f4330305a446b794c546c6a4e6a51745a544e6d597a526c4e44637a4e6a5a6a4c6d52765933673d&fich=a56592d1-e608-4d92-9c64-e3fc4e47366c.docx&Inline=true
126529,263603,"Rejeita o Programa de Estabilidade e a política de direita, responder às necessidades do Povo e do País",PCP,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f574e6b4e7a6b345a5751745a5442684f4330304e474d344c546b354f4455744d6d4e6a4e7a5a6b4e5467774d475a6b4c6d52765933673d&fich=9cd798ed-e0a8-44c8-9985-2cc76d5800fd.docx&Inline=true
126530,263572,"Aprova um programa de emergência fiscal, que garante uma atualização intercalar dos escalões de IRS e o alargamento do regime do IRS Jovem",PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f5752684f5751345a5449744e5745774d5330304e7a566d4c5467784e5759745a6d49784d546c6d5a5759774d475a6a4c6d52765933673d&fich=9da9d8e2-5a01-475f-815f-fb119fef00fc.docx&Inline=true
126531,263609,Mais progressividade e justiça fiscal no IRS,L,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a42684d545a6c4f4441744f444d7a596930305a4463334c5745354f5455745a5459345a6a41335a474d7a5a444e6b4c6d52765933673d&fich=60a16e80-833b-4d77-a995-e68f07dc3d3d.docx&Inline=true
126533,263613,Elimina as taxas de portagem nos lanços e sublanços das autoestradas do Interior (ex-SCUT) ou onde não existam vias alternativas que permitam um uso em qualidade e segurança,PS,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a57526d597a5a695a474d744d7a41774d4330304e6a56694c546c6c4f4441745a6a49784f4463304d6a63314d6a526d4c6d52765933673d&fich=edfc6bdc-3000-465b-9e80-f2187427524f.docx&Inline=true
126534,263627,"Eliminação das portagens para as autoestradas de acesso às regiões do interior (A22, A23, A24, A25, A28, A29, A41, A42)",BE,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a6d4e6d4e6a4531596a41744d474d324e7930304f44646a4c574a685a5459744e44597a4d5451354d7a51784e32566d4c6d52765933673d&fich=fcf615b0-0c67-487c-bae6-4631493417ef.docx&Inline=true
126535,263633,Eliminação de portagens em autoestradas,PCP,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d5751784e57597a596d4574596a52684e5330304e574d774c546b315a546b74595759314e3259794e5451334d47566b4c6d527659773d3d&fich=1d15f3ba-b4a5-45c0-95e9-af57f25470ed.doc&Inline=true
126536,263628,Recomenda ao Governo que avalie o custo-benefício de isentar de portagens as antigas SCUT,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e7a4135596a566d4d546b744e5467354e53303059324d784c546b334d7a67744d4449334d6d45774f54646b4f444a6b4c6d52765933673d&fich=709b5f19-5895-4cc1-9738-0272a097d82d.docx&Inline=true
126538,263631,Pela redução gradual e financeiramente responsável de portagens no interior e nas grandes áreas metropolitanas,"PSD, CDS-PP",http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d575530595441355a545974596a4e684d5330304d54497a4c5745354d7a41745a446b784e324d7a4e6a637a5a4755344c6d52765933673d&fich=1e4a09e6-b3a1-4123-a930-d917c3673de8.docx&Inline=true
126539,263634,Recomenda ao Governo que na estrita defesa do interesse público proceda à renegociação dos contratos de parcerias público-privadas do sector rodoviário,PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d457659544d35596a63324f4445744d6a426d4e693030596d52684c5468694f5745744f57597a5a6a49344e6d49324e6a6b344c6d52765933673d&fich=a39b7681-20f6-4bda-8b9a-9f3f286b6698.docx&Inline=true
126540,263641,"Recomenda ao Governo que isente de forma temporária as portagens nas autoestradas alternativas ao IC2 na localidade de Serém, Macinhata do Vouga, Águeda",IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f54566a4d544d784e3259744f474d314f4330305a6a63774c546c69596d55744f5456684e4463784e32526d4e4755784c6d52765933673d&fich=95c1317f-8c58-4f70-9bbe-95a4717df4e1.docx&Inline=true
126541,263617,Deslocação do Presidente da República a Itália,R,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f4459344e47526c597a49744f5745794e5330305a6a63784c574a6a4e7a67745a544a6a4e6a6b31596a67774e7a41344c6d527659773d3d&fich=8684dec2-9a25-4f71-bc78-e2c695b80708.doc&Inline=true
